price;bedrooms;is_studio;bedrooms_log;accommodates;beds;room_type;neighbourhood_cleansed;review_scores_rating;number_of_reviews
110.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Tower Hamlets;4,7;37
73.0;1;0;0.6931471805599453;2;1,0;Private room;Hackney;4,77;66
127.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Lambeth;4,82;79
171.0;2;0;1.0986122886681098;3;2,0;Entire home/apt;Newham;4,92;108
105.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Islington;4,84;293
126.0;1;0;0.6931471805599453;3;2,0;Entire home/apt;Westminster;4,84;174
31.0;1;0;0.6931471805599453;2;1,0;Private room;Lewisham;4,89;28
302.0;3;0;1.3862943611198906;7;3,0;Entire home/apt;Camden;4,64;110
83.0;2;0;1.0986122886681098;4;4,0;Entire home/apt;Brent;4,07;43
66.0;1;0;0.6931471805599453;2;1,0;Private room;Lewisham;5,0;44
23.0;1;0;0.6931471805599453;2;1,0;Private room;Croydon;4,49;69
85.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Camden;4,8;5
166.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Brent;4,78;9
235.0;1;0;0.6931471805599453;2;4,0;Entire home/apt;Kensington and Chelsea;4,92;13
155.0;1;0;0.6931471805599453;4;1,0;Entire home/apt;Hackney;;0
135.0;2;0;1.0986122886681098;5;2,0;Entire home/apt;Lambeth;4,77;23
123.0;1;0;0.6931471805599453;3;1,0;Entire home/apt;Hackney;4,65;152
149.0;1;0;0.6931471805599453;3;2,0;Entire home/apt;Lambeth;4,44;140
127.0;1;0;0.6931471805599453;2;1,0;Private room;Hackney;4,9;40
52.0;1;0;0.6931471805599453;2;1,0;Private room;Newham;4,0;14
220.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Richmond upon Thames;4,0;1
54.0;1;0;0.6931471805599453;1;1,0;Private room;Islington;4,75;254
55.0;1;0;0.6931471805599453;2;1,0;Private room;Lewisham;4,96;260
80.0;1;0;0.6931471805599453;2;1,0;Private room;Ealing;4,99;97
41.0;1;0;0.6931471805599453;2;1,0;Private room;Greenwich;4,79;335
587.0;1;0;0.6931471805599453;3;3,0;Private room;Westminster;4,78;45
90.0;1;0;0.6931471805599453;2;1,0;Private room;Westminster;4,58;537
357.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Westminster;4,94;34
62.0;1;0;0.6931471805599453;1;1,0;Private room;Camden;4,83;542
78.0;1;0;0.6931471805599453;2;1,0;Private room;Tower Hamlets;4,76;75
120.0;1;0;0.6931471805599453;2;1,0;Private room;Islington;4,97;117
154.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Wandsworth;5,0;1
